"","open_water","develop_openspace","develop_medintense","develop_lowintense","develop_highintense","barren_land","decid_forest","evergreen_forest","mixed_forest","dwarf_scrub","shrub_scrub","herbacious","sedge_herb","lichen","moss","pasture","cultivate_crops","wood_wetlands","herb_wetlands","id","year","radius"
"1","0","0.002295552","0.117360115","0.711908178","0.164418938","0.001147776","0","0","0","0","0.00143472","0","0","0","0","0.00143472","0","0","0",6,2006,1000
"2","0.3898029144","0.0303367308","0.0944841265","0.2050079683","0.2550188601","0.003026794","0.0054000757","0.0038752135","0.005961867","0","0.0006993729","0.0003783493","0","0","0","0.0017312345","0","0.0025567237","0.0017197693",6,2006,5000
"3","0","0.002008608","0.116499283","0.711908178","0.165566714","0.001147776","0","0","0","0","0.00143472","0","0","0","0","0.00143472","0","0","0",6,2016,1000
"4","0.3881290056","0.0297061487","0.0927987526","0.2066245514","0.2582176311","0.0029580032","0.0052968895","0.0033707479","0.0059504019","0","0.0005044657","0.0004586052","0","0","0","0.0016968391","0","0.0024076771","0.0018802811",6,2016,5000
"5","0.038130734","0.002293578","0.025516055","0.166284404","0.753440367","0.010894495","0","0","0","0","0","0.003440367","0","0","0","0","0","0","0",16,2006,1000
"6","0.3109532","0.02120708","0.07827134","0.2653866","0.3016335","0.005685791","0.003931908","0.003530693","0.004654095","0","0.001341205","0.0005043847","0","0","0","0.001146329","3.438987e-05","0.001066086","0.0006534075",16,2006,5000
"7","0.037844037","0.002293578","0.024655963","0.166857798","0.753440367","0.011754587","0","0","0","0","0","0.00315367","0","0","0","0","0","0","0",16,2016,1000
"8","0.3105978","0.02080587","0.07768671","0.2664641","0.3027684","0.005594085","0.003851665","0.003106551","0.004654095","0","0.001123402","0.0004929214","0","0","0","0.001100476","3.438987e-05","0.001066086","0.0006534075",16,2016,5000
"9","0","0.001146132","0.036389685","0.708595989","0.253868195","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,2006,1000
"10","0.243201724","0.024384372","0.097606273","0.412115376","0.168982437","0.009056725","0.017528775","0.006385564","0.008815977","0","0.003611226","0.001066171","0","0","0","0.002854588","0","0.002797267","0.001593525",2,2006,5000
"11","0","0.0005730659","0.0358166189","0.7094555874","0.2541547278","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,2016,1000
"12","0.242720227","0.024143624","0.096815243","0.413089834","0.170220571","0.008139588","0.017482918","0.006706562","0.008632549","0","0.003530976","0.001318384","0","0","0","0.002797267","0","0.002774339","0.001627918",2,2016,5000
"13","0","0.0140642939","0.1954649828","0.6524110218","0.1283008037","0.0002870264","0.0034443169","0.0002870264","0","0","0.0028702641","0","0","0","0","0.0028702641","0","0","0",3,2006,1000
"14","0.2680759839","0.0400440221","0.1413864655","0.3015510897","0.1864288253","0.0077611803","0.0270322943","0.0084948813","0.0122780268","0","0.0007910213","0.0002866019","0","0","0","0.0013986174","0","0.0030494446","0.0014215456",3,2006,5000
"15","0","0.0132032147","0.1937428243","0.6535591274","0.1297359357","0.0002870264","0.0034443169","0.0002870264","0","0","0.0028702641","0","0","0","0","0.0028702641","0","0","0",3,2016,1000
