"","variable_name","min","max","median","NA_count"
"1","open_water",0,0.28,0,0
"2","develop_openspace",0,0.14,0.01,0
"3","develop_medintense",0.02,0.51,0.14,0
"4","develop_lowintense",0.01,0.72,0.6,0
"5","develop_highintense",0.08,0.94,0.16,0
"6","barren_land",0,0.01,0,0
"7","decid_forest",0,0.03,0,0
"8","evergreen_forest",0,0.02,0,0
"9","mixed_forest",0,0.04,0,0
"10","dwarf_scrub",0,0,0,0
"11","shrub_scrub",0,0,0,0
"12","herbacious",0,0.01,0,0
"13","sedge_herb",0,0,0,0
"14","lichen",0,0,0,0
"15","moss",0,0,0,0
"16","pasture",0,0,0,0
"17","cultivate_crops",0,0,0,0
"18","wood_wetlands",0,0.01,0,0
"19","herb_wetlands",0,0,0,0
