"id","lat","long","address","geocode_notes","rating","old_lat","old_long","distance_old_new"
6,47.608,-122.3028,NA,"manually updated lat/long on the map",NA,47.60505,-122.30247,329.33
25,NA,NA,NA,NA,NA,NA,NA,NA
16,47.622,-122.35054,NA,NA,NA,NA,NA,NA
2,47.67608,-122.37496,NA,NA,NA,NA,NA,NA
3,47.52837,-122.36602,NA,NA,NA,NA,NA,NA
4,47.55337,-122.31361,NA,NA,NA,NA,NA,NA
7,47.72676,-122.33753,NA,NA,NA,NA,NA,NA
8,47.55795,-122.28844,NA,NA,NA,NA,NA,NA
9,47.65957,-122.34055,NA,NA,NA,NA,NA,NA
10,47.70755,-122.2961,NA,NA,NA,NA,NA,NA
11,47.60809,-122.30134,NA,NA,NA,NA,NA,NA
12,47.52401,-122.26474,NA,NA,NA,NA,NA,NA
13,47.6766,-122.31301,NA,NA,NA,NA,NA,NA
14,47.61299,-122.31017,NA,NA,NA,NA,NA,NA
15,47.58158,-122.33012,NA,NA,NA,NA,NA,NA
17,47.57699,-122.38658,NA,NA,NA,NA,NA,NA
18,47.54611,-122.28311,NA,NA,NA,NA,NA,NA
19,47.53179,-122.36584,NA,NA,NA,NA,NA,NA
20,47.68296,-122.29586,NA,NA,NA,NA,NA,NA
21,47.65692,-122.33851,NA,NA,NA,NA,NA,NA
22,47.7093,-122.29222,NA,NA,NA,NA,NA,NA
23,47.57359,-122.38956,NA,NA,NA,NA,NA,NA
24,47.63606,-122.35843,NA,NA,NA,NA,NA,NA
26,47.56227,-122.31125,NA,NA,NA,NA,NA,NA
27,47.69426,-122.34123,NA,NA,NA,NA,NA,NA
28,47.59918,-122.30422,NA,NA,NA,NA,NA,NA
29,47.69607,-122.37693,NA,NA,NA,NA,NA,NA
